Y,X1,X2,X3
123338880,855,224,644
31754478,841,203,186
145883136,512,636,448
1238016,496,32,78
377253792,743,688,738
5911675,35,185,913
6185956,853,259,28
145613888,787,413,448
325400992,757,707,608
69423360,716,320,303
183557000,451,1000,407
79586352,402,452,438
46767952,847,238,232
36962730,861,477,90
12486474,819,22,693
279036888,914,494,618
248765625,549,725,625
36086400,224,180,895
308801280,928,940,354
2318700,131,300,59
234656704,457,568,904
205627464,279,984,749
64895040,320,261,777
223550808,559,456,877
35177814,567,926,67
238497777,357,981,681
684706269,993,767,899
484487916,759,908,703
306281530,794,431,895
3790080,4,960,987
431303020,991,470,926
39203760,862,758,60
214217224,433,923,536
289974960,779,660,564
9475588,844,109,103
181562535,305,859,693
82069400,961,488,175
69788628,789,162,546
229975200,288,819,975
217958400,516,440,960
217889910,570,501,763
159164500,275,673,860
21649160,316,85,806
485906304,654,832,893
12230400,336,104,350
257347560,470,886,618
251626368,344,784,933
215433500,827,500,521
12368820,977,60,211
130985869,301,749,581
17694144,278,288,221
2230536,88,497,51
2366826,763,66,47
79625520,362,940,234
109238868,411,414,642
9003400,236,175,218
625815693,961,813,801
64814310,471,330,417
500108400,803,720,865
220837500,390,755,750
114952500,351,524,625
1082040,284,10,381
132299830,734,767,235
104262420,305,467,732
196156400,872,550,409
64179200,200,368,872
228020622,883,579,446
49918320,123,912,445
60997480,776,395,199
32841900,401,390,210
71409492,594,434,277
149243136,896,782,213
47889322,962,67,743
12582752,182,464,149
62766954,521,194,621
67081872,674,132,754
16176510,405,951,42
79527360,443,352,510
59757500,125,530,902
116800350,797,977,150
159408,216,123,6
244557264,651,886,424
123888000,348,800,445
69662120,389,370,484
230147556,302,809,942
296211692,709,602,694
131803893,247,633,843
245752680,673,408,895
183146095,691,671,395
19204080,105,322,568
301908600,441,978,700
2773524,773,46,78
53284875,525,265,383
5621200,611,25,368
6220152,116,331,162
79060630,781,955,106
34906620,868,105,383
515956008,596,942,919
114074940,482,322,735
125002458,639,623,314
260972160,870,344,872
3664850,70,185,283
4890600,836,6,975
30787020,292,213,495
21413922,274,239,327
11233396,932,709,17
16950648,858,44,449
393806238,511,933,826
98778960,360,834,329
27322152,312,209,419
461837028,731,646,978
28357350,350,239,339
802560,912,22,40
30136960,248,310,392
76664364,499,186,826
357857226,753,618,769
246396856,712,401,863
210227472,526,549,728
500107762,869,814,707
571548250,637,970,925
31092930,361,145,594
138785184,382,783,464
23076040,446,130,398
6358308,44,319,453
14719796,98,689,218
20801088,469,224,198
169568624,718,557,424
25714638,706,213,171
14188356,273,244,213
182250000,625,400,729
77448804,204,443,857
136456980,212,705,913
38601059,83,553,841
70314975,465,255,593
59077920,334,440,402
247053030,791,870,359
94618458,207,869,526
15183168,91,237,704
221142096,744,337,882
60844608,132,582,792
78300000,500,200,783
6952680,372,178,105
305738312,902,839,404
1088640,216,18,280
1062720,40,984,27
1794312,27,312,213
2460402,21,414,283
15824302,494,311,103
23230314,81,423,678
8510634,811,159,66
17429580,135,159,812
13397622,163,721,114
25893504,91,456,624
436606212,766,993,574
64535702,677,619,154
89243778,867,481,214
57915000,650,891,100
171492314,431,586,679
22439592,756,153,194
46224000,375,428,288
2770893,471,111,53
49884120,247,540,374
2554704,628,113,36
184002550,535,815,422
11215800,75,279,536
154018536,313,606,812
10290780,885,57,204
308428920,744,953,435
9321780,34,555,494
27967310,230,599,203
21223650,525,986,41
152698112,592,752,343
25441845,65,409,957
29258488,202,196,739
172802550,381,965,470
150943122,438,649,531
723168,162,124,36
592802880,976,955,636
551302764,859,677,948
51086752,542,344,274
21580650,255,465,182
331898,7,302,157
65975560,245,328,821
27769625,65,575,743
411493572,974,958,441
19030820,340,251,223
43901664,337,944,138
79798680,295,408,663
6684934,142,263,179
36311814,126,369,781
174427344,377,504,918
468805625,827,625,907
11661660,309,102,370
147309705,783,955,197
4133640,8,777,665
30134000,494,305,200
32312000,800,70,577
87097920,997,960,91
195394430,295,782,847
94647369,851,283,393
429525,207,5,415
161620992,624,912,284
20655000,170,375,324
98499312,229,696,618
47424861,363,321,407
55684888,574,307,316
17185028,316,119,457
564830316,662,886,963
66074400,560,570,207
124565280,283,786,560
24840298,986,59,427
25295760,588,90,478
273728000,800,940,364
118906788,364,521,627
631503444,971,758,858
33497840,188,295,604
55415145,915,853,71
400737792,987,832,488
43643600,88,910,545
165930492,318,611,854
172748800,896,482,400
175783660,524,397,845
64536048,122,744,711
129680352,327,408,972
239907888,792,487,622
277484256,686,477,848
58092876,477,199,612
28070524,38,853,866
33962012,394,131,658
893800,109,20,410
159625600,320,601,830
5313728,818,8,812
267521859,457,657,891
44275140,260,477,357
14964352,529,221,128
811200,169,240,20
23565168,396,87,684
1863324,108,243,71
115224555,535,697,309
369056610,894,435,949
20361600,606,480,70
486966753,841,819,707
10370516,52,377,529
162193635,387,545,769
108931130,154,965,733
41933808,566,147,504
371817302,731,967,526
129480000,160,830,975
41458665,199,817,255
238140,21,252,45
281356309,389,943,767
144061911,903,749,213
242513660,907,580,461
353570962,991,779,458
49593060,92,891,605
52105680,528,255,387
37347352,56,757,881
144562600,520,845,329
163601438,323,598,847
119166201,279,903,473
47010712,644,113,646
109903464,193,719,792
365775488,914,416,962
54372708,338,662,243
841932,91,514,18
16660556,101,326,506
9180720,246,60,622
66189616,478,152,911
13017024,729,144,124
179454366,882,423,481
76568544,288,401,663
259040430,990,297,881
72729090,762,505,189
13174120,145,277,328
53885172,649,204,407
305402280,849,920,391
262557456,469,654,856
11137632,848,199,66
48616653,571,281,303
201102912,772,804,324
177923200,455,832,470
13008240,174,120,623
421476250,650,925,701
380892512,611,736,847
363648033,723,903,557
303783000,600,929,545
234580502,838,793,353
20525069,493,527,79
31341744,434,472,153
157534272,288,623,878
2990080,80,256,146
194001094,911,742,287
357589728,954,456,822
1030080,148,120,58
121210270,905,401,334
96999780,870,214,521
37900544,352,313,344
388190556,468,837,991
6781518,251,171,158
37013504,62,704,848
652720168,668,991,986
3293440,310,166,64
169813224,882,508,379
33199738,173,793,242
174683530,406,647,665
4395508,274,26,617
18822280,499,46,820
45175504,638,424,167
1927170,399,690,7
4288760,35,136,901
3849408,246,489,32
12387330,746,27,615
1319976,582,252,9
38261185,215,709,251
49966020,585,262,326
17538192,762,168,137
9827091,67,387,379
55497792,98,816,694
36128400,253,300,476
51988392,569,324,282
139939250,337,550,755
29909154,391,114,671
6901830,195,694,51
164176331,673,331,737
33319992,436,282,271
255725648,887,974,296
142542540,609,564,415
58576050,589,195,510
516710,5,163,634
143787168,886,276,588
1963120,463,5,848
615222540,914,831,810
109630994,731,187,802
96225888,528,293,622
65632224,672,967,101
331833268,578,622,923
60911136,348,936,187
85369284,309,322,858
2376000,320,825,9
219214016,752,406,718
75075,5,455,33
589073492,634,998,931
279140400,385,795,912
4723056,377,116,108
40019768,986,292,139
82906416,639,136,954
709004592,866,996,822
147016000,782,200,940
73596900,260,339,835
80993550,573,550,257
47374800,194,300,814
541668960,986,720,763
591610908,766,994,777
5770184,14,617,668
94311945,853,243,455
1892685,95,229,87
13646910,745,129,142
618089760,870,912,779
424059360,844,636,790
160943328,299,623,864
346250940,890,471,826
7636230,207,70,527
203901768,597,428,798
18418561,413,161,277
49471260,705,662,106
20459200,76,400,673
205300500,830,582,425
437454480,582,817,920
7193602,674,13,821
136488528,796,396,433
152445170,758,551,365
12339756,198,663,94
11481912,648,611,29
62041068,606,453,226
124919340,822,167,910
280895160,840,377,887
49217220,513,130,738
112497660,428,649,405
45036132,618,166,439
1019445,21,133,365
187048448,452,488,848
127291890,253,930,541
65472000,880,300,248
133671384,504,627,423
219548420,665,364,907
9839720,418,220,107
118484730,777,390,391
116716416,564,928,223
222659710,629,910,389
633721830,861,890,827
299937869,599,929,539
41743314,142,801,367
5737005,723,345,23
3186939,79,113,357
124317440,248,520,964
114579090,639,215,834
63926324,154,842,493
409191258,969,973,434
108689100,435,260,961
53818743,857,121,519
2501928,162,33,468
436857500,950,541,850
374880,568,220,3
113874904,286,494,806
895000,50,20,895
16176435,869,85,219
50453032,191,712,371
144522819,603,707,339
157799680,976,215,752
425990016,908,648,724
47636400,700,106,642
299003320,772,770,503
9711312,156,197,316
67212250,193,350,995
2327640,489,8,595
40240800,621,864,75
518721144,787,947,696
52241376,264,811,244
338757741,657,571,903
7169680,490,248,59
11198374,977,521,22
559436760,822,855,796
1542465,9,227,755
240206816,304,857,922
3885804,437,114,78
83841450,490,671,255
381976893,591,969,667
52875600,200,834,317
10567200,525,629,32
83047680,324,320,801
4251300,6,766,925
39895250,185,454,475
293272448,644,532,856
98647704,458,558,386
1326105,423,209,15
737081520,932,807,980
159539352,604,266,993
9115776,386,738,32
3330000,296,250,45
92804530,238,455,857
138552975,935,801,185
27048000,575,210,224
121303440,712,270,631
9144920,167,740,74
45963450,117,675,582
163721250,495,525,630
28738944,456,156,404
119243845,167,805,887
146295720,346,870,486
99087408,147,744,906
265464648,846,331,948
2042040,462,85,52
631913436,933,733,924
107179560,498,422,510
94974660,531,330,542
17372175,285,167,365
45676800,360,130,976
110320320,440,372,674
12224000,16,955,800
47398122,551,177,486
200342987,883,563,403
1136016,588,46,42
790965,729,5,217
162000,54,8,375
216586832,682,424,749
10849008,713,634,24
79623138,357,623,358
158987136,456,566,616
110521476,353,468,669
7042140,126,621,90
263791048,584,943,479
18056448,922,136,144
315291168,628,734,684
358585920,495,784,924
9161768,77,214,556
48495888,232,711,294
3661020,215,66,258
133511175,309,525,823
176050368,408,936,461
81508716,564,201,719
8417988,57,794,186
269186760,843,360,887
25161870,309,958,85
113802228,188,653,927
24332000,395,400,154
417255488,872,856,559
28649166,959,78,383
139001184,864,489,329
49174860,105,764,613
14438710,55,878,299
87374860,257,764,445
252485020,986,290,883
69162192,264,282,929
54793800,556,225,438
169233960,217,970,804
1064950,19,95,590
38767505,97,601,665
24838980,107,730,318
85474785,669,505,253
188709480,963,460,426
59249763,711,167,499
19490352,344,798,71
4306806,257,98,171
74435616,892,122,684
243924453,621,421,933
89055540,630,322,439
287921016,591,636,766
7169310,135,334,159
65991618,269,826,297
18566520,184,105,961
340103810,695,614,797
104764770,989,535,198
71609934,167,979,438
210801500,650,565,574
9017280,808,90,124
59071302,122,681,711
96527340,546,710,249
83677856,634,146,904
666899920,965,752,919
5871420,9,786,830
79336257,911,273,319
134412696,396,981,346
109372284,954,431,266
60499200,548,552,200
83301054,969,106,811
7463040,208,65,552
19263090,93,269,770
601389252,771,922,846
25191243,147,577,297
416096352,798,612,852
2585856,7,481,768
141061008,617,528,433
129240864,654,368,537
57185718,137,438,953
26973900,123,510,430
275653872,507,964,564
341136180,755,652,693
13892340,341,70,582
59899860,109,860,639
335498366,578,707,821
532996365,835,667,957
17615070,659,297,90
182410250,550,565,587
45547392,64,902,789
170112024,428,639,622
254330146,971,353,742
45481800,392,175,663
205802848,709,772,376
109805613,597,953,193
296046660,826,390,919
644999520,906,880,809
116060139,391,531,559
242686446,709,641,534
10533660,838,419,30
363360052,983,682,542
16575312,156,404,263
182716560,810,936,241
637317120,704,943,960
97617960,726,135,996
46314720,568,135,604
91194744,388,258,911
167819700,365,790,582
33471200,400,278,301
471128248,554,982,866
5046800,740,220,31
265410110,467,706,805
3181794,71,582,77
34280400,175,264,742
266106900,365,870,838
239435625,625,893,429
9211500,345,534,50
866069100,937,975,948
62486390,334,527,355
347093604,706,573,858
30833880,470,132,497
204665454,483,531,798
338913372,667,644,789
100559970,651,813,190
14762160,606,42,580
42322280,151,637,440
67480380,197,692,495
118523853,521,483,471
141141,3,77,611
6644460,74,205,438
267568812,868,699,441
218924532,729,386,778
300890700,675,484,921
1047336,4,578,453
197515168,989,632,316
12345264,34,369,984
34474968,171,319,632
1426464,26,762,72
221127725,259,923,925
11889801,57,441,473
266493248,839,448,709
241888554,531,953,478
36691396,98,658,569
157256520,502,460,681
2597400,90,185,156
73939392,306,288,839
502415410,794,707,895
8775558,253,123,282
2447550,18,185,735
484295371,833,907,641
94368897,237,849,469
129566970,533,333,730
17211820,142,170,713
233344566,273,866,987
187111183,329,703,809
202535372,244,871,953
17661564,54,722,453
112829850,225,602,833
49080192,186,589,448
6121106,61,262,383
197985096,829,963,248
215607106,949,253,898
455518080,606,864,870
82363974,133,726,853
2384928,169,672,21
41800192,218,256,749
374220,945,1,396
232696394,631,371,994
6749990,379,65,274
28225260,131,285,756
9018464,163,494,112
43952448,192,851,269
19645560,55,902,396
316800,64,55,90
562028544,768,968,756
26201232,108,414,586
174570144,592,826,357
2777040,240,19,609
47940012,279,444,387
187224128,527,416,854
211537224,933,423,536
522317805,785,863,771
42587550,586,153,475
14760956,254,98,593
48402900,197,910,270
151000,250,302,2
32601450,75,854,509
34004832,824,181,228
29437240,245,184,653
3361436,509,508,13
148697895,285,653,799
113140482,793,258,553
2753025,355,11,705
175433226,597,698,421
31545600,465,160,424
29283000,454,75,860
182356350,319,618,925
160680576,529,336,904
38446576,532,812,89
61689276,513,132,911
46206765,765,209,289
5897034,79,377,198
299707056,439,862,792
64657000,779,830,100
3160280,205,188,82
102976412,277,497,748
107543800,622,475,364
13996328,667,43,488
90570150,495,342,535
31678206,114,371,749
488387120,871,860,652
167761440,801,770,272
61578209,191,869,371
359085152,856,527,796
131468106,462,323,881
160936538,802,263,763
83669096,844,679,146
2019624,412,114,43
217677824,949,512,448
5560360,578,962,10
109806048,484,274,828
78582252,114,742,929
84793170,231,781,470
33456192,876,217,176
58344660,373,395,396
71802432,516,669,208
101644908,591,589,292
50622858,213,286,831
63139000,200,613,515
2092896,234,104,86
81834984,792,509,203
10854441,113,821,117
63331554,143,662,669
358882272,756,686,692
12467840,253,280,176
3736800,173,144,150
7951560,552,215,67
192320106,358,803,669
7038798,923,93,82
167272560,189,962,920
648768,186,32,109
440039756,898,802,611
1114440,30,148,251
89640156,898,262,381
614399288,866,772,919
1503280,437,4,860
299034370,370,899,899
166914830,254,787,835
14202576,716,342,58
63785232,267,336,711
87623379,129,771,881
3366720,112,36,835
92198340,369,403,620
32049920,640,343,146
1506750,50,735,41
356915325,975,971,377
119791980,670,774,231
3460674,894,79,49
122062053,173,753,937
64853508,417,236,659
61211445,285,397,541
47684510,965,797,62
10329704,164,154,409
282249792,479,864,682
75748620,916,745,111
193995144,808,333,721
135218088,687,472,417
259455,49,15,353
331000320,524,705,896
72838596,717,436,233
46389564,611,228,333
104886532,337,796,391
23259239,593,643,61
86514372,189,722,634
2243160,45,67,744
991870,254,355,11
58182075,75,901,861
215917857,549,547,719
216320,52,104,40
98290164,406,314,771
149548940,643,580,401
371240376,806,524,879
1932231,101,21,911
193060608,312,634,976
226819390,386,721,815
44117088,722,268,228
38395620,274,519,270
149353908,527,339,836
75628350,525,954,151
72874440,705,472,219
8640668,893,41,236
251694240,866,692,420
246759492,406,998,609
28946580,481,170,354
7661564,982,166,47
119230464,939,496,256
612864,14,76,576
37503000,125,463,648
44507808,219,348,584
42099820,343,722,170
1052980,190,326,17
50978375,245,287,725
114668892,897,268,477
48114000,432,891,125
77948640,880,333,266
46988394,618,139,547
15894816,124,218,588
10376613,423,39,629
147859425,405,915,399
17253355,371,655,71
64114650,255,986,255
40566218,311,242,539
5966400,300,176,113
13217360,208,71,895
292015644,503,606,958
51364500,726,283,250
104386650,395,766,345
574371468,801,758,946
12203940,294,70,593
431581381,887,623,781
115939116,974,306,389
32048364,551,74,786
17373400,596,275,106
194301450,630,709,435
177232572,348,759,671
522934818,826,751,843
305169150,533,694,825
127716750,477,315,850
42963151,343,193,649
341213275,725,883,533
680335920,748,930,978
264564800,872,328,925
116272460,958,229,530
125182365,385,501,649
221259074,571,619,626
81869280,680,508,237
300832054,941,893,358
146375460,716,885,231
150039810,230,653,999
155533500,820,281,675
3061110,167,30,611
183185640,495,668,554
83158250,475,574,305
4731298,466,781,13
13783716,837,716,23
18430740,54,734,465
501980768,992,877,577
23230314,113,243,846
169596000,720,673,350
389805066,609,997,642
37375338,889,78,539
185934848,352,971,544
32221320,788,141,290
323992704,514,938,672
2417492,47,154,334
178274397,899,399,497
10223018,221,229,202
40763520,674,630,96
175572540,990,359,494
8580960,404,590,36
38020752,132,378,762
45841900,788,65,895
344441760,544,663,955
3164070,78,305,133
47960640,702,160,427
220101287,313,889,791
150682464,548,536,513
79959075,357,289,775
36089373,823,933,47
74256000,560,975,136
232784398,469,586,847
1258400,32,121,325
47606875,211,475,475
146735840,365,544,739
19191900,380,481,105
156569628,727,786,274
31384584,259,132,918
75530830,901,166,505
65931040,344,518,370
4989068,889,244,23
98661654,651,174,871
172581552,748,442,522
